label,type,symbol,D,t,r
冷間プレス成形角形鋼管,BCP,□,850,40,140
冷間プレス成形角形鋼管,BCP,□,900,16,56
冷間プレス成形角形鋼管,BCP,□,900,19,66.5
冷間プレス成形角形鋼管,BCP,□,900,22,77
冷間プレス成形角形鋼管,BCP,□,900,25,87.5
冷間プレス成形角形鋼管,BCP,□,900,28,98
冷間プレス成形角形鋼管,BCP,□,900,32,112
冷間プレス成形角形鋼管,BCP,□,900,36,126
冷間プレス成形角形鋼管,BCP,□,900,38,133
冷間プレス成形角形鋼管,BCP,□,900,40,140
冷間プレス成形角形鋼管,BCP,□,950,19,66.5
冷間プレス成形角形鋼管,BCP,□,950,22,77
冷間プレス成形角形鋼管,BCP,□,950,25,87.5
冷間プレス成形角形鋼管,BCP,□,950,28,98
冷間プレス成形角形鋼管,BCP,□,950,32,112
冷間プレス成形角形鋼管,BCP,□,950,36,126
冷間プレス成形角形鋼管,BCP,□,950,38,133
冷間プレス成形角形鋼管,BCP,□,950,40,140
冷間プレス成形角形鋼管,BCP,□,1000,19,66.5
冷間プレス成形角形鋼管,BCP,□,1000,22,77
冷間プレス成形角形鋼管,BCP,□,1000,25,87.5
冷間プレス成形角形鋼管,BCP,□,1000,28,98
冷間プレス成形角形鋼管,BCP,□,1000,32,112
冷間プレス成形角形鋼管,BCP,□,1000,36,126
冷間プレス成形角形鋼管,BCP,□,1000,38,133
冷間プレス成形角形鋼管,BCP,□,1000,40,140
