label,type,symbol,H,B,tw,tf,r
SHH,スーパーハイスレンドH,SH,550,300,16,28,13
SHH,スーパーハイスレンドH,SH,600,200,9,12,13
SHH,スーパーハイスレンドH,SH,600,200,9,16,13
SHH,スーパーハイスレンドH,SH,600,200,9,19,13
SHH,スーパーハイスレンドH,SH,600,200,9,22,13
SHH,スーパーハイスレンドH,SH,600,200,12,16,13
SHH,スーパーハイスレンドH,SH,600,200,12,19,13
SHH,スーパーハイスレンドH,SH,600,200,12,22,13
SHH,スーパーハイスレンドH,SH,600,200,12,25,13
SHH,スーパーハイスレンドH,SH,600,200,12,28,13
SHH,スーパーハイスレンドH,SH,600,250,9,16,13
SHH,スーパーハイスレンドH,SH,600,250,9,19,13
SHH,スーパーハイスレンドH,SH,600,250,12,16,13
SHH,スーパーハイスレンドH,SH,600,250,12,19,13
SHH,スーパーハイスレンドH,SH,600,250,12,22,13
SHH,スーパーハイスレンドH,SH,600,250,12,25,13
SHH,スーパーハイスレンドH,SH,600,250,12,28,13
SHH,スーパーハイスレンドH,SH,600,250,14,19,13
SHH,スーパーハイスレンドH,SH,600,250,14,22,13
SHH,スーパーハイスレンドH,SH,600,250,14,25,13
SHH,スーパーハイスレンドH,SH,600,250,14,28,13
SHH,スーパーハイスレンドH,SH,600,250,16,22,13
SHH,スーパーハイスレンドH,SH,600,250,16,25,13
SHH,スーパーハイスレンドH,SH,600,250,16,28,13
SHH,スーパーハイスレンドH,SH,600,250,16,32,13
SHH,スーパーハイスレンドH,SH,600,300,9,19,13
SHH,スーパーハイスレンドH,SH,600,300,12,16,13
SHH,スーパーハイスレンドH,SH,600,300,12,19,13
SHH,スーパーハイスレンドH,SH,600,300,12,22,13
SHH,スーパーハイスレンドH,SH,600,300,12,25,13
SHH,スーパーハイスレンドH,SH,600,300,12,28,13
SHH,スーパーハイスレンドH,SH,600,300,14,19,13
SHH,スーパーハイスレンドH,SH,600,300,14,22,13
SHH,スーパーハイスレンドH,SH,600,300,14,25,13
SHH,スーパーハイスレンドH,SH,600,300,14,28,13
SHH,スーパーハイスレンドH,SH,600,300,14,32,13
SHH,スーパーハイスレンドH,SH,600,300,16,22,13
SHH,スーパーハイスレンドH,SH,600,300,16,25,13
SHH,スーパーハイスレンドH,SH,600,300,16,28,13
SHH,スーパーハイスレンドH,SH,600,300,16,32,13
SHH,スーパーハイスレンドH,SH,650,200,9,12,13
SHH,スーパーハイスレンドH,SH,650,200,9,16,13
SHH,スーパーハイスレンドH,SH,650,200,9,19,13
SHH,スーパーハイスレンドH,SH,650,200,9,22,13
SHH,スーパーハイスレンドH,SH,650,200,12,16,13
SHH,スーパーハイスレンドH,SH,650,200,12,19,13
SHH,スーパーハイスレンドH,SH,650,200,12,22,13
SHH,スーパーハイスレンドH,SH,650,200,12,25,13
SHH,スーパーハイスレンドH,SH,650,200,12,28,13
SHH,スーパーハイスレンドH,SH,650,250,9,16,13
SHH,スーパーハイスレンドH,SH,650,250,12,16,13
SHH,スーパーハイスレンドH,SH,650,250,12,19,13
SHH,スーパーハイスレンドH,SH,650,250,12,22,13
SHH,スーパーハイスレンドH,SH,650,250,12,25,13
SHH,スーパーハイスレンドH,SH,650,250,12,28,13
SHH,スーパーハイスレンドH,SH,650,250,14,19,13
SHH,スーパーハイスレンドH,SH,650,250,14,22,13
SHH,スーパーハイスレンドH,SH,650,250,14,25,13
SHH,スーパーハイスレンドH,SH,650,250,14,28,13
SHH,スーパーハイスレンドH,SH,650,250,16,22,13
SHH,スーパーハイスレンドH,SH,650,250,16,25,13
SHH,スーパーハイスレンドH,SH,650,250,16,28,13
SHH,スーパーハイスレンドH,SH,650,250,16,32,13
SHH,スーパーハイスレンドH,SH,650,300,12,16,13
SHH,スーパーハイスレンドH,SH,650,300,12,19,13
SHH,スーパーハイスレンドH,SH,650,300,12,22,13
SHH,スーパーハイスレンドH,SH,650,300,12,25,13
SHH,スーパーハイスレンドH,SH,650,300,14,19,13
SHH,スーパーハイスレンドH,SH,650,300,14,22,13
SHH,スーパーハイスレンドH,SH,650,300,14,25,13
SHH,スーパーハイスレンドH,SH,650,300,14,28,13
SHH,スーパーハイスレンドH,SH,650,300,16,22,13
SHH,スーパーハイスレンドH,SH,650,300,16,25,13
SHH,スーパーハイスレンドH,SH,650,300,16,28,13
SHH,スーパーハイスレンドH,SH,650,300,16,32,13
SHH,スーパーハイスレンドH,SH,700,200,9,12,18
SHH,スーパーハイスレンドH,SH,700,200,9,16,18
SHH,スーパーハイスレンドH,SH,700,200,9,19,18
SHH,スーパーハイスレンドH,SH,700,200,9,22,18
SHH,スーパーハイスレンドH,SH,700,200,12,16,18
SHH,スーパーハイスレンドH,SH,700,200,12,19,18
SHH,スーパーハイスレンドH,SH,700,200,12,22,18
SHH,スーパーハイスレンドH,SH,700,200,12,25,18
SHH,スーパーハイスレンドH,SH,700,200,12,28,18
SHH,スーパーハイスレンドH,SH,700,250,9,16,18
SHH,スーパーハイスレンドH,SH,700,250,9,19,18
SHH,スーパーハイスレンドH,SH,700,250,12,16,18
SHH,スーパーハイスレンドH,SH,700,250,12,19,18
SHH,スーパーハイスレンドH,SH,700,250,12,22,18
SHH,スーパーハイスレンドH,SH,700,250,12,25,18
SHH,スーパーハイスレンドH,SH,700,250,14,19,18
SHH,スーパーハイスレンドH,SH,700,250,14,22,18
SHH,スーパーハイスレンドH,SH,700,250,14,25,18
SHH,スーパーハイスレンドH,SH,700,250,14,28,18
SHH,スーパーハイスレンドH,SH,700,300,12,19,18
SHH,スーパーハイスレンドH,SH,700,300,12,22,18
SHH,スーパーハイスレンドH,SH,700,300,12,25,18
SHH,スーパーハイスレンドH,SH,700,300,12,28,18
SHH,スーパーハイスレンドH,SH,700,300,14,19,18
SHH,スーパーハイスレンドH,SH,700,300,14,22,18
SHH,スーパーハイスレンドH,SH,700,300,14,25,18
SHH,スーパーハイスレンドH,SH,700,300,14,28,18
SHH,スーパーハイスレンドH,SH,700,300,14,32,18
SHH,スーパーハイスレンドH,SH,700,300,16,22,18
SHH,スーパーハイスレンドH,SH,700,300,16,25,18
SHH,スーパーハイスレンドH,SH,700,300,16,28,18
SHH,スーパーハイスレンドH,SH,700,300,16,32,18
SHH,スーパーハイスレンドH,SH,700,300,16,36,18
SHH,スーパーハイスレンドH,SH,700,350,12,22,18
SHH,スーパーハイスレンドH,SH,700,350,12,25,18
SHH,スーパーハイスレンドH,SH,700,350,14,22,18
SHH,スーパーハイスレンドH,SH,700,350,14,25,18
SHH,スーパーハイスレンドH,SH,700,350,14,28,18
SHH,スーパーハイスレンドH,SH,700,350,14,32,18
SHH,スーパーハイスレンドH,SH,700,350,16,25,18
SHH,スーパーハイスレンドH,SH,700,350,16,28,18
SHH,スーパーハイスレンドH,SH,700,350,16,32,18
SHH,スーパーハイスレンドH,SH,700,350,16,36,18
SHH,スーパーハイスレンドH,SH,750,250,12,16,18
SHH,スーパーハイスレンドH,SH,750,250,12,19,18
SHH,スーパーハイスレンドH,SH,750,250,12,22,18
SHH,スーパーハイスレンドH,SH,750,250,12,25,18
SHH,スーパーハイスレンドH,SH,750,250,14,19,18
SHH,スーパーハイスレンドH,SH,750,250,14,22,18
SHH,スーパーハイスレンドH,SH,750,250,14,25,18
SHH,スーパーハイスレンドH,SH,750,250,14,28,18
SHH,スーパーハイスレンドH,SH,750,300,14,19,18
SHH,スーパーハイスレンドH,SH,750,300,14,22,18
SHH,スーパーハイスレンドH,SH,750,300,14,25,18
SHH,スーパーハイスレンドH,SH,750,300,14,28,18
SHH,スーパーハイスレンドH,SH,750,300,16,22,18
SHH,スーパーハイスレンドH,SH,750,300,16,25,18
SHH,スーパーハイスレンドH,SH,750,300,16,28,18
SHH,スーパーハイスレンドH,SH,750,300,16,32,18
SHH,スーパーハイスレンドH,SH,750,350,14,22,18
SHH,スーパーハイスレンドH,SH,750,350,14,25,18
SHH,スーパーハイスレンドH,SH,750,350,14,28,18
SHH,スーパーハイスレンドH,SH,750,350,14,32,18
SHH,スーパーハイスレンドH,SH,750,350,16,25,18
SHH,スーパーハイスレンドH,SH,750,350,16,28,18
SHH,スーパーハイスレンドH,SH,750,350,16,32,18
SHH,スーパーハイスレンドH,SH,750,350,16,36,18
SHH,スーパーハイスレンドH,SH,800,250,14,22,18
SHH,スーパーハイスレンドH,SH,800,250,14,25,18
SHH,スーパーハイスレンドH,SH,800,250,14,28,18
SHH,スーパーハイスレンドH,SH,800,250,16,22,18
SHH,スーパーハイスレンドH,SH,800,250,16,25,18
SHH,スーパーハイスレンドH,SH,800,250,16,28,18
SHH,スーパーハイスレンドH,SH,800,250,16,32,18
SHH,スーパーハイスレンドH,SH,800,300,14,22,18
SHH,スーパーハイスレンドH,SH,800,300,14,25,18
SHH,スーパーハイスレンドH,SH,800,300,14,28,18
SHH,スーパーハイスレンドH,SH,800,300,14,32,18
SHH,スーパーハイスレンドH,SH,800,300,16,22,18
SHH,スーパーハイスレンドH,SH,800,300,16,25,18
SHH,スーパーハイスレンドH,SH,800,300,16,28,18
SHH,スーパーハイスレンドH,SH,800,300,16,32,18
SHH,スーパーハイスレンドH,SH,800,300,16,36,18
SHH,スーパーハイスレンドH,SH,800,350,14,25,18
SHH,スーパーハイスレンドH,SH,800,350,14,28,18
SHH,スーパーハイスレンドH,SH,800,350,16,25,18
SHH,スーパーハイスレンドH,SH,800,350,16,28,18
SHH,スーパーハイスレンドH,SH,800,350,16,32,18
SHH,スーパーハイスレンドH,SH,800,350,16,36,18
SHH,スーパーハイスレンドH,SH,800,350,19,25,18
SHH,スーパーハイスレンドH,SH,800,350,19,28,18
SHH,スーパーハイスレンドH,SH,800,350,19,32,18
SHH,スーパーハイスレンドH,SH,800,350,19,36,18
SHH,スーパーハイスレンドH,SH,800,350,19,40,18
SHH,スーパーハイスレンドH,SH,800,400,14,25,18
SHH,スーパーハイスレンドH,SH,800,400,14,28,18
